Respondant,Region,Store,Liked,Don’t like,Would Like,NPS Score
1,Nelson & Marlborough,NELSON,You are confusing me about how many fly Buy points I get when I bought the tyres.,Let me Know how many point I have received in total.,,1
2,Wellington,WELLINGTON - THORNDON QUAY,The prompt helpful service,,A few more magazines for women,1
3,Auckland,AUCKLAND - HOWICK,Quick service and good price,,Would be nice if tyre was stored in the workshop (low profile),1
4,Auckland,AUCKLAND - HOWICK,Changed our tyres efficiently without any fuss and advised us to go back in 6 weeks to check the tyres.  Advised us that we did not need alignment done so everything good!,,,1
5,Christchurch,RANGIORA,convenient to work and nice staff,I needed two tyres and thought the quote given was for two tyres. I paid double what I had been lead to believe so frankly I felt mislead.  The vehicle had been in 6 weeks earlier for a wheel balance and the staff had not mentioned that two tyres needed replacing.,,1
6,Mid & South Canterbury,ASHBURTON,Staff are always cheerfull and ready to help,,,1
7,Auckland,AUCKLAND - MANUKAU CITY,Very profesional with great knowledge of tyres well explained to me.,Nothing to grumble about,Very happy with service provided,1
8,Christchurch,CHRISTCHURCH - HORNBY,Nothing you are a pack of theives.,How you guys can charge that sort of price for a new tyre is beyond me.I will never use you company again and as i run a business in hornby i will be mentioing the prices you charge and informing all my customers as well as staff and friends. Because i sent my wife down your staff feel they can just charge anything they want. Dont you stock all types of tyres??,Get it right and stop ripping people off,1
9,Northland ,KERIKERI,customer service from website was good. ,The tyres arranged weren't in stock ..  ONE OF THE BRAND NEW TYRES FITTED WENT FLAT THE NEXT DAY AND PAUL CARSON-WENMOTH  HAD TO CALL ROADSIDE RESCUE AT 9PM LAST NIGHT ON HIS WAY BACK TO AUCKLAND. NOT VERY HAPPY. ,,1
10,Northland ,KAWAKAWA,Nothing,Rude  employee. I rang to book in and when I got there I was made to feel like I was a nuisance then had to wait approx 2 1/2 hours to get a wheel alignment and wheels rotated.,Get better employees who want to work,1
